"code","name_kor","name_eng","type"
"003670","포스코케미칼","POSCO CHEMICAL","KOSPI"
"005490","POSCO홀딩스","POSCO Holdings Inc.","KOSPI"
"189690","포시에스","FORCS Co., Ltd.","KOSDAQ"
"318020","포인트모바일","POINT MOBILE Co., Ltd.","KOSDAQ"
"256630","포인트엔지니어링","POINT ENGINEERING Co., Ltd.","KOSDAQ"
"331380","포커스에이치엔에스","FOCUS HNS","KOSDAQ"
"234100","폴라리스세원","Sewon","KOSDAQ"
"041020","폴라리스오피스","Polaris Office","KOSDAQ"
"114630","폴라리스우노","POLARIS UNO","KOSDAQ"
"290720","푸드나무","FOODNAMOO, INC.","KOSDAQ"
"005670","푸드웰","FOODWELL CORPORATION","KOSDAQ"
"094940","푸른기술","PULOON TECHNOLOGY INC.","KOSDAQ"
"007330","푸른저축은행","PureunMutualSavingsBank","KOSDAQ"
"017810","풀무원","PULMUONE","KOSPI"
"093380","풍강","PUNGKANG CO.,LTD","KOSDAQ"
"023900","풍국주정","Pungguk Ethanol","KOSDAQ"
"103140","풍산","POONGSAN CORPORATION","KOSPI"
"005810","풍산홀딩스","POONGSAN HOLDINGS","KOSPI"
"371950","풍원정밀","POONGWON PRECISION Co.,Ltd.","KOSDAQ"
"370090","퓨런티어","Furonteer Inc.","KOSDAQ"
"341170","퓨쳐메디신","Future Medicine","KONEX"
"220100","퓨쳐켐","FutureChem Co., Ltd.","KOSDAQ"
"035200","프럼파스트","PLUMB FAST CO., LTD.","KOSDAQ"
"334970","프레스티지바이오로직스","Prestige Biologics Co., Ltd.","KOSDAQ"
"950210","프레스티지바이오파마","PRESTIGE BIOPHARMA LIMITED KDR","KOSPI"
"203690","프로스테믹스","PROSTEMICS CO.LTD.","KOSDAQ"
"321260","프로이천","PRO2000","KOSDAQ"
"303360","프로테옴텍","PROTEOMETECH","KONEX"
"053610","프로텍","PROTEC Co., Ltd.","KOSDAQ"
"377220","프롬바이오","From Bio Co., Ltd.","KOSDAQ"
"335810","프리시젼바이오","Precision Biosensor Inc.","KOSDAQ"
"053160","프리엠스","FreeMs Corporation","KOSDAQ"
"405000","플라즈맵","Plasmapp Co., Ltd.","KOSDAQ"
"041590","플래스크","Flask","KOSDAQ"
"367000","플래티어","Plateer Co., Ltd.","KOSDAQ"
"075130","플랜티넷","PLANTYNET Co., Ltd.","KOSDAQ"
"222670","플럼라인생명과학","Plumbline Life Sciences","KONEX"
"009810","플레이그램","Playgram","KOSPI"
"237820","플레이디","PlayD Co., Ltd.","KOSDAQ"
"023770","플레이위드","PLAYWITH Inc.","KOSDAQ"
"300080","플리토","FLITTO Inc.","KOSDAQ"
"150440","피노텍","Finotek","KONEX"
"032580","피델릭스","Fidelix Co., Ltd.","KOSDAQ"
"051380","피씨디렉트","PC Direct, Inc.","KOSDAQ"
"241820","피씨엘","PCL. Inc","KOSDAQ"
"178920","PI첨단소재","PI Advanced Materials Co., Ltd.","KOSPI"
"237750","피앤씨테크","PNC Technologies Co., Ltd.","KOSDAQ"
"024850","피에스엠씨","PSMC Co., Ltd","KOSDAQ"
"319660","피에스케이","PSK INC.","KOSDAQ GLOBAL"
"031980","피에스케이홀딩스","PSK HOLDINGS INC.","KOSDAQ"
"002230","피에스텍","PS Tec. Co., Ltd.","KOSDAQ"
"057880","피에이치씨","PHC","KOSDAQ"
"043370","피에이치에이","PHA","KOSDAQ"
"242350","피엔아이컴퍼니","PNIcompany","KONEX"
"239890","피엔에이치테크","P&H TECH Co., Ltd.","KOSDAQ"
"347740","피엔케이피부임상연구센타","P&K Skin Research Center Co.,Ltd.","KOSDAQ"
"137400","피엔티","People & Technology, Inc.","KOSDAQ GLOBAL"
"024940","PN풍년","PNPOONGNYUN CO.,LTD","KOSDAQ"
"128660","피제이메탈","PJ METAL CO., LTD.","KOSDAQ"
"006140","피제이전자","PJ ELECTRONICS CO., LTD.","KOSDAQ"
"376180","피코그램","Picogram Co.,Ltd.","KOSDAQ"
"304840","피플바이오","PeopleBio, Inc.","KOSDAQ"
"062970","피피아이","PPI. INC","KOSDAQ"
"087600","픽셀플러스","Pixelplus. Co., Ltd.","KOSDAQ"
"291810","핀텔","Pintel Co., Ltd.","KOSDAQ"
"161580","필옵틱스","PHILOPTICS CO., LTD.","KOSDAQ"
"347770","핌스","PIMS Inc.","KOSDAQ"
"163730","핑거","Finger Inc.","KOSDAQ"
"417180","핑거스토리","Finger Story CO., LTD.","KOSDAQ"
"343510","하나금융16호스팩","Hana Financial Sixteen Special Purpose Acquisition Company","KOSDAQ"
"388220","하나금융19호스팩","Hana Financial Nineteen Special Purpose Acquisition Company","KOSDAQ"
"400560","하나금융20호스팩","Hana Financial Twenty Special Purpose Acquisition Company","KOSDAQ"
"406760","하나금융21호스팩","Hana Financial Twenty-one SPAC","KOSDAQ"
"418170","하나금융22호스팩","Hana Financial Twenty-two SPAC","KOSDAQ"
"427950","하나금융23호스팩","Hana Financial Twenty-three SPAC","KOSDAQ"
"430230","하나금융24호스팩","Hana Financial Twenty-four SPAC","KOSDAQ"
"435620","하나금융25호스팩","Hana Financial Twenty-five SPAC","KOSDAQ"
"086790","하나금융지주","HanaFinancialGroupInc.","KOSPI"
"299030","하나기술","HANA TECHNOLOGY CO.,LTD.","KOSDAQ"
"067310","하나마이크론","Hana Micron Inc.","KOSDAQ GLOBAL"
"372290","하나머스트7호스팩","Hana Must Seven Special Purpose Acquisition Company","KOSDAQ"
"166090","하나머티리얼즈","Hana Materials Inc.","KOSDAQ GLOBAL"
"293480","하나제약","Hana Pharm","KOSPI"
"039130","하나투어","HANATOUR SERVICE","KOSPI"
"136480","하림","HARIM Co., Ltd.","KOSDAQ"
"003380","하림지주","Harim Holdings Co., Ltd.","KOSDAQ GLOBAL"
"101670","하이드로리튬","Hydro Lithium","KOSDAQ"
"365590","하이딥","HiDeep","KOSDAQ"
"149980","하이로닉","Hironic Co.,Ltd","KOSDAQ"
"013030","하이록코리아","HY-LOK CORPORATION","KOSDAQ"
"352820","하이브","HYBE","KOSPI"
"126700","하이비젼시스템","HyVISION SYSTEM.INC","KOSDAQ"
"106080","하이소닉","HYSONIC Co., Ltd.","KOSDAQ"
"071090","하이스틸","HISTEEL CO., LTD.","KOSPI"
"377400","하이제6호스팩","HI Special Purpose Acquisition Company VI","KOSDAQ"
"400840","하이제7호스팩","HI Special Purpose Acquisition Company VII","KOSDAQ"
"221840","하이즈항공","HIZEAERO Co.,Ltd.","KOSDAQ"
"106190","하이텍팜","HIGH TECH PHARM CO., LTD.","KOSDAQ"
"019490","하이트론","HitronSystems","KOSPI"
"000087","하이트진로2우B","HITEJINRO(2PB)","KOSPI"
"000080","하이트진로","HITEJINRO","KOSPI"
"000145","하이트진로홀딩스우","HITEJINROHOLDINGS(1P)","KOSPI"
"000140","하이트진로홀딩스","HITEJINROHOLDINGS","KOSPI"
"373200","하인크코리아","HaAINC KOREA","KOSDAQ"
"066130","하츠","HAATZ Inc.","KOSDAQ"
"004590","한국가구","KoreaFurniture","KOSDAQ"
"036460","한국가스공사","KoreaGasCorporation","KOSPI"
"039340","한국경제TV","The Korea Economic Broadcasting","KOSDAQ"
"005430","한국공항","KoreaAirportService","KOSPI"
"034950","한국기업평가","Korea Ratings Corporation","KOSDAQ"
"010040","한국내화","KOREAREFRACTORIES","KOSPI"
"025540","한국단자","KoreaElectricTerminal","KOSPI"
